代码,名称,交易所,板块,行业,地域板块,概念题材,是否ST,日K开始日期,日K结束日期,日K行数,训练可用行数,训练可用率
002380,科远智慧,深交所,深市主板,IT服务Ⅱ,江苏板块,"互联网服务,长江三角,智慧城市,国产软件,人工智能,工业互联,华为概念,边缘计算,垃圾分类,虚拟电厂,超超临界发电,机器人概念,信创,新型工业化,AI应用",0,2023-05-26,2026-05-25,724,701,0.9682
002396,星网锐捷,深交所,深市主板,通信设备,福建板块,"物联网,移动支付,网络安全,在线教育,智能家居,央国企改革,人脑工程,5G概念,人工智能,华为概念,数字货币,IPv6,WiFi,车联网(车路云),数据中心,元宇宙概念,数字经济,F5G概念,信创,CPO概念,光通信模块,通信技术",0,2023-05-26,2026-05-25,724,717,0.9903
002402,和而泰,深交所,深市主板,家电零部件Ⅱ,广东板块,"军工,深圳特区,物联网,大数据,智能穿戴,智能家居,一带一路,5G概念,人工智能,小米概念,国产芯片,氮化镓,半导体概念,卫星互联网,第三代半导体,商业航天,储能概念,汽车热管理,机器人概念,毫米波概念,小米汽车,华为海思,DeepSeek概念,消费电子概念,通信技术",0,2023-05-26,2026-05-25,724,696,0.9613
002407,多氟多,深交所,深市主板,化学制品,河南板块,"创投,化工原料,新材料,锂电池概念,特斯拉概念,氟化工概念,独角兽,新能源车,半导体概念,固态电池,钠离子电池,储能概念,PVDF概念,电池技术",0,2023-05-26,2026-05-25,724,703,0.971
002415,海康威视,深交所,深市主板,计算机设备,浙江板块,"物联网,云计算,长江三角,智慧城市,大数据,安防概念,央国企改革,无人机,虚拟现实,人工智能,无人驾驶,超清视频,边缘计算,车联网(车路云),生物识别,机器人概念,存储芯片,AI应用,光纤概念",0,2023-05-26,2026-05-25,724,724,1.0
002422,科伦药业,深交所,深市主板,化学制药,四川板块,"西部大开发,流感,幽门螺杆菌概念,肝炎概念,创新药,合成生物",0,2023-05-26,2026-05-25,724,720,0.9945
002430,杭氧股份,深交所,深市主板,化学制品,浙江板块,"煤化工概念,央国企改革,一带一路,天然气,氢能源,半导体概念,氦气概念,商业航天,工业气体,可控核聚变,油气资源",0,2023-05-26,2026-05-25,724,717,0.9903
002436,兴森科技,深交所,深市主板,元件,广东板块,"军工,深圳特区,互联网金融,5G概念,军民融合,华为概念,PCB,国产芯片,半导体概念,卫星互联网,机器人概念,光通信模块,高带宽内存,低空经济,通信技术",0,2023-05-26,2026-05-25,724,703,0.971
002444,巨星科技,深交所,深市主板,通用设备,浙江板块,"参股银行,电商概念,智能家居,IPO受益,人工智能,无人驾驶,贬值受益,储能概念,激光雷达,机器人概念,跨境电商",0,2023-05-26,2026-05-25,724,717,0.9903
002552,宝鼎科技,深交所,深市主板,元件,浙江板块,"黄金概念,央国企改革,一带一路,PCB",0,2023-05-26,2026-05-25,724,698,0.9641
002558,巨人网络,深交所,深市主板,游戏Ⅱ,重庆板块,"创投,网络游戏,西部大开发,参股保险,互联网金融,虚拟现实,人工智能,百度概念,电子竞技,华为概念,蚂蚁概念,鸿蒙概念,元宇宙概念,AIGC概念,AI应用,文娱消费",0,2023-05-26,2026-05-25,724,712,0.9834
002580,圣阳股份,深交所,深市主板,电池,山东板块,"新能源,创投,锂电池概念,光伏概念,央国企改革,雄安新区,数据中心,鸿蒙概念,固态电池,钠离子电池,储能概念,液冷概念,电池技术",0,2023-05-26,2026-05-25,724,691,0.9544
002655,共达电声,深交所,深市主板,消费电子,山东板块,"智能穿戴,苹果概念,智能家居,无人机,小米概念,独角兽,华为概念,电子烟,国产芯片,无线耳机,传感器,半导体概念,生物识别,元宇宙概念,消费电子概念",0,2023-05-26,2026-05-25,724,706,0.9751
002730,电光科技,深交所,深市主板,专用设备,浙江板块,"物联网,人工智能,鸿蒙概念,算力概念",0,2023-05-26,2026-05-25,724,684,0.9448
002757,南兴股份,深交所,深市主板,专用设备,广东板块,"云计算,网络安全,AI智能体,华为概念,VPN,数据中心,工业母机,东数西算,中俄贸易概念,算力概念",0,2023-05-26,2026-05-25,724,688,0.9503
002759,天际股份,深交所,深市主板,电池,广东板块,"锂电池概念,氟化工概念,钠离子电池,磷化工,电池技术",0,2023-05-26,2026-05-25,724,675,0.9323
002801,微光股份,深交所,深市主板,电机Ⅱ,浙江板块,"锂电池概念,一带一路,冷链物流,新能源车,机器人概念,人形机器人,电池技术",0,2023-05-26,2026-05-25,724,715,0.9876
002827,高争民爆,深交所,深市主板,化学制品,西藏板块,"西部大开发,央国企改革,民爆概念,雅下水电概念",0,2023-05-26,2026-05-25,724,691,0.9544
002838,道恩股份,深交所,深市主板,塑料,山东板块,"新材料,特斯拉概念,5G概念,小米概念,降解塑料,通信技术",0,2023-05-26,2026-05-26,715,697,0.9748
002841,视源股份,深交所,深市主板,消费电子,广东板块,"智能穿戴,在线教育,智能家居,人工智能,小米概念,超清视频,机器人概念,DeepSeek概念,AI应用,消费电子概念,显示技术",0,2023-05-26,2026-05-25,724,719,0.9931
002842,翔鹭钨业,深交所,深市主板,小金属,广东板块,小金属概念,0,2023-05-26,2026-05-25,724,694,0.9586
002864,盘龙药业,深交所,深市主板,中药Ⅱ,陕西板块,"西部大开发,中药概念,养老概念,电商概念,独家药品,流感,肝炎概念,创新药,特色药,病原体防治",0,2023-05-26,2026-05-25,724,716,0.989
002891,中宠股份,深交所,深市主板,饲料,山东板块,"电商概念,阿里概念,宠物经济,新消费",0,2023-05-26,2026-05-25,724,718,0.9917
002895,川恒股份,深交所,深市主板,农化制品,贵州板块,"西部大开发,磷化工",0,2023-05-26,2026-05-25,724,716,0.989
002899,英派斯,深交所,深市主板,文娱用品,山东板块,"体育产业,冰雪经济",0,2023-05-26,2026-05-25,724,698,0.9641
002902,铭普光磁,深交所,深市主板,通信设备,广东板块,"光伏概念,智能穿戴,电商概念,充电桩,5G概念,华为概念,国产芯片,新能源车,氮化镓,半导体概念,数据中心,第三代半导体,储能概念,F5G概念,跨境电商,CPO概念,算力概念,光通信模块,消费电子概念,通信技术",0,2023-05-26,2026-05-25,724,677,0.9351
002906,华阳集团,深交所,深市主板,汽车零部件,广东板块,"创投,无人驾驶,百度概念,华为概念,胎压监测,车联网(车路云),无线充电,华为汽车,汽车热管理,汽车一体化压铸,电子后视镜,光通信模块,小米汽车,飞行汽车(eVTOL),英伟达概念,人形机器人",0,2023-05-26,2026-05-25,724,715,0.9876
002921,联诚精密,深交所,深市主板,汽车零部件,山东板块,"燃料电池概念,氢能源,机器人概念,减速器,机器人执行器,电池技术",0,2023-05-26,2026-05-25,724,700,0.9669
002933,新兴装备,深交所,深市主板,航空装备Ⅱ,北京板块,"航天航空,军工,央国企改革,无人机,军民融合,机器人概念,机器人执行器,低空经济,人形机器人",0,2023-05-26,2026-05-25,724,708,0.9779
002937,兴瑞科技,深交所,深市主板,汽车零部件,浙江板块,"物联网,特斯拉概念,智能家居,一带一路,5G概念,虚拟现实,无人驾驶,超清视频,新能源车,传感器,WiFi,液冷概念,通信技术",0,2023-05-26,2026-05-25,724,716,0.989
002940,昂利康,深交所,深市主板,化学制药,浙江板块,"宠物经济,创新药,合成生物",0,2023-05-26,2026-05-25,724,690,0.953
002956,西麦食品,深交所,深市主板,休闲食品,广西板块,西部大开发,0,2023-05-26,2026-05-25,724,714,0.9862
002965,祥鑫科技,深交所,深市主板,汽车零部件,广东板块,"创投,光伏概念,特斯拉概念,充电桩,5G概念,无人驾驶,华为概念,新能源车,数据中心,固态电池,华为汽车,储能概念,机器视觉,汽车热管理,机器人概念,汽车一体化压铸,液冷概念,小米汽车,飞行汽车(eVTOL),低空经济,人形机器人,电池技术,通信技术",0,2023-05-26,2026-05-25,724,707,0.9765
002971,和远气体,深交所,深市主板,化学制品,湖北板块,"节能环保,化工原料,燃料电池概念,天然气,氢能源,新能源车,湖北自贸,尾气治理,氦气概念,工业气体,电池技术,油气资源",0,2023-05-26,2026-05-25,724,712,0.9834
002976,瑞玛精密,深交所,深市主板,汽车零部件,江苏板块,"锂电池概念,特斯拉概念,一带一路,5G概念,无人驾驶,新能源车,华为汽车,电池技术,通信技术",0,2023-05-26,2026-05-25,724,684,0.9448
002977,*ST天箭,深交所,深市主板,军工电子Ⅱ,四川板块,"军工,西部大开发,氮化镓,第三代半导体,商业航天",1,2023-05-26,2026-05-26,724,638,0.8812
002978,安宁股份,深交所,深市主板,小金属,四川板块,"参股银行,西部大开发,钛白粉概念,钒电池,电池技术",0,2023-05-26,2026-05-25,724,717,0.9903
002985,北摩高科,深交所,深市主板,航空装备Ⅱ,北京板块,"航天航空,军工,铁路基建,通用航空,无人机,军民融合,大飞机,国产芯片,商业航天,低空经济",0,2023-05-26,2026-05-25,724,713,0.9848
002988,豪美新材,深交所,深市主板,工业金属,广东板块,"新材料,新能源车,华为汽车,建筑节能",0,2023-05-26,2026-05-25,724,704,0.9724
002989,中天精装,深交所,深市主板,装修装饰Ⅱ,广东板块,"深圳特区,央国企改革",0,2023-05-26,2026-05-26,723,697,0.964
002997,瑞鹄模具,深交所,深市主板,汽车零部件,安徽板块,"新能源车,机器人概念,汽车一体化压铸,小米汽车",0,2023-05-26,2026-05-25,724,713,0.9848
003017,大洋生物,深交所,深市主板,化学原料,浙江板块,"氟化工概念,一带一路,半导体概念,中俄贸易概念,PEEK材料概念,微盘股,合成生物",0,2023-05-26,2026-05-25,724,712,0.9834
003019,宸展光电,深交所,深市主板,光学光电子,福建板块,"物联网,智慧城市,人工智能,贬值受益,新能源车,车联网(车路云),信创",0,2023-05-26,2026-05-25,724,713,0.9848
003023,彩虹集团,深交所,深市主板,小家电,四川板块,"西部大开发,婴童概念,电商概念,医疗器械概念,宠物经济",0,2023-05-26,2026-05-25,724,711,0.982
600036,招商银行,上交所,沪市主板,银行Ⅱ,广东板块,"深圳特区,互联网金融,跨境支付",0,2023-05-26,2026-05-25,724,724,1.0
600038,中直股份,上交所,沪市主板,航空装备Ⅱ,黑龙江,"航天航空,军工,通用航空,央国企改革,无人机,军民融合,大飞机,飞行汽车(eVTOL),低空经济",0,2023-05-26,2026-05-25,724,724,1.0
600066,宇通客车,上交所,沪市主板,商用车,河南板块,"燃料电池概念,无人驾驶,新能源车,车联网(车路云),汽车整车,电池技术",0,2023-05-26,2026-05-25,724,721,0.9959
600096,云天化,上交所,沪市主板,农化制品,云南板块,"煤化工概念,化工原料,新材料,锂电池概念,西部大开发,央国企改革,氟化工概念,一带一路,碳交易,磷化工,电池技术",0,2023-05-26,2026-05-25,724,721,0.9959
600114,XD东睦股,上交所,沪市主板,通用设备,浙江板块,"新材料,长江三角,3D打印,特斯拉概念,苹果概念,燃料电池概念,小米概念,华为概念,机器人概念,光通信模块,柔性屏(折叠屏),英伟达概念,电池技术",0,2023-05-26,2026-05-25,714,699,0.979
600141,兴发集团,上交所,沪市主板,农化制品,湖北板块,"化工原料,稀缺资源,参股银行,锂电池概念,央国企改革,氟化工概念,氢能源,半导体概念,湖北自贸,中芯概念,草甘膦,有机硅概念,固态电池,磷化工,电池技术",0,2023-05-26,2026-05-25,724,722,0.9972
600160,巨化股份,上交所,沪市主板,化学制品,浙江板块,"创投,化工原料,锂电池概念,长江三角,央国企改革,氟化工概念,国产芯片,半导体概念,中芯概念,碳交易,工业气体,PVDF概念,液冷概念,电池技术",0,2023-05-26,2026-05-25,724,719,0.9931
600171,上海贝岭,上交所,沪市主板,半导体,上海板块,"参股券商,物联网,LED概念,智能电网,长江三角,央国企改革,充电桩,华为概念,国产芯片,无线耳机,半导体概念,第三代半导体,IGBT概念,光通信模块,存储芯片,消费电子概念,电网概念,通信技术",0,2023-05-26,2026-05-25,724,700,0.9669
600176,中国巨石,上交所,沪市主板,玻璃玻纤,浙江板块,"新材料,风能,央国企改革,一带一路,PCB,PEEK材料概念,DeepSeek概念",0,2023-05-26,2026-05-25,724,719,0.9931
600206,有研新材,上交所,沪市主板,半导体,北京板块,"新能源,新材料,稀土永磁,3D打印,医疗器械概念,央国企改革,小金属概念,5G概念,OLED,华为概念,国产芯片,传感器,半导体概念,尾气治理,中芯概念,存储芯片,通信技术",0,2023-05-26,2026-05-25,724,701,0.9682
600298,安琪酵母,上交所,沪市主板,调味发酵品Ⅱ,湖北板块,"央国企改革,湖北自贸,长寿药,化妆品概念,合成生物",0,2023-05-26,2026-05-25,724,724,1.0
600316,洪都航空,上交所,沪市主板,航空装备Ⅱ,江西板块,"航天航空,军工,通用航空,央国企改革,航母概念,大飞机,低空经济",0,2023-05-26,2026-05-25,724,710,0.9807
600323,瀚蓝环境,上交所,沪市主板,环境治理,广东板块,"节能环保,创投,央国企改革,PPP模式,天然气,垃圾分类,碳交易,油气资源",0,2023-05-26,2026-05-26,723,723,1.0
600330,天通股份,上交所,沪市主板,电子化学品Ⅱ,浙江板块,"新材料,锂电池概念,LED概念,光伏概念,长江三角,特斯拉概念,蓝宝石,小金属概念,充电桩,5G概念,OLED,超清视频,PCB,国产芯片,新能源车,半导体概念,MicroLED,无线充电,商业航天,储能概念,CPO概念,光通信模块,消费电子概念,电池技术,通信技术",0,2023-05-26,2026-05-25,724,697,0.9627
600378,昊华科技,上交所,沪市主板,化学制品,四川板块,"军工,成渝特区,西部大开发,燃料电池概念,央国企改革,氟化工概念,航母概念,大飞机,氢能源,中芯概念,碳交易,工业气体,PVDF概念,液冷概念,电池技术",0,2023-05-26,2026-05-25,724,718,0.9917
600426,华鲁恒升,上交所,沪市主板,农化制品,山东板块,"煤化工概念,化工原料,锂电池概念,央国企改革,电池技术",0,2023-05-26,2026-05-25,724,724,1.0
600456,宝钛股份,上交所,沪市主板,小金属,陕西板块,"军工,稀缺资源,新材料,西部大开发,3D打印,苹果概念,央国企改革,小金属概念,航母概念,大飞机,商业航天",0,2023-05-26,2026-05-25,724,717,0.9903
600460,士兰微,上交所,沪市主板,半导体,浙江板块,"LED概念,长江三角,智能穿戴,OLED,国产芯片,氮化镓,半导体概念,第三代半导体,碳化硅,IGBT概念,消费电子概念",0,2023-05-26,2026-05-25,724,717,0.9903
600520,三佳科技,上交所,沪市主板,专用设备,安徽板块,"央国企改革,国产芯片,半导体概念,机器人概念,先进封装",0,2023-05-26,2026-05-26,720,661,0.9181
600547,山东黄金,上交所,沪市主板,贵金属,山东板块,"稀缺资源,黄金概念,央国企改革,贬值受益",0,2023-05-26,2026-05-25,724,718,0.9917
600593,大连圣亚,上交所,沪市主板,旅游及景区,辽宁板块,"旅游酒店,参股银行,央国企改革,旅游概念,东北振兴,谷子经济,冰雪经济,文娱消费",0,2023-05-26,2026-05-25,719,666,0.9263
600605,汇通能源,上交所,沪市主板,一般零售,上海板块,"长江三角,半导体概念",0,2023-05-26,2026-05-25,724,703,0.971
600612,老凤祥,上交所,沪市主板,饰品,上海板块,"参股券商,参股银行,黄金概念,长江三角,沪企改革,央国企改革",0,2023-05-26,2026-05-25,724,720,0.9945
600673,东阳光,上交所,沪市主板,综合Ⅱ,广东板块,"新材料,成渝特区,锂电池概念,氟化工概念,华为概念,数据中心,储能概念,PVDF概念,东数西算,机器人概念,液冷概念,锂矿概念,人形机器人,电池技术",0,2023-05-26,2026-05-26,716,701,0.9791
600685,中船防务,上交所,沪市主板,航海装备Ⅱ,广东板块,"军工,参股银行,海工装备,央国企改革,船舶制造",0,2023-05-26,2026-05-25,724,720,0.9945
600699,均胜电子,上交所,沪市主板,汽车零部件,浙江板块,"特斯拉概念,充电桩,无人驾驶,华为概念,新能源车,车联网(车路云),无线充电,华为汽车,激光雷达,光通信模块,高压快充,小米汽车,英伟达概念,人形机器人",0,2023-05-26,2026-05-25,724,715,0.9876
600779,水井坊,上交所,沪市主板,白酒Ⅱ,四川板块,"酿酒概念,创投,成渝特区,西部大开发,白酒,社区团购,味蕾经济",0,2023-05-26,2026-05-25,724,714,0.9862
600885,宏发股份,上交所,沪市主板,电网设备,湖北板块,"新能源,新材料,光伏概念,特斯拉概念,一带一路,新能源车,数据中心",0,2023-05-26,2026-05-25,724,718,0.9917
600895,张江高科,上交所,沪市主板,房地产开发,上海板块,"创投,参股券商,上海自贸,沪企改革,央国企改革,阿里概念,人工智能,租售同权,独角兽,光刻机(胶),国产芯片,新能源车,半导体概念,蚂蚁概念,REITs概念",0,2023-05-26,2026-05-25,724,695,0.9599
600938,中国海油,上交所,沪市主板,油气开采Ⅱ,,"新能源,风能,油气设服,央国企改革,天然气,绿色电力,油气资源",0,2023-05-26,2026-05-25,724,721,0.9959
600976,健民集团,上交所,沪市主板,中药Ⅱ,湖北板块,"中药概念,独家药品,流感,特色药",0,2023-05-26,2026-05-25,724,719,0.9931
601069,西部黄金,上交所,沪市主板,贵金属,新疆板块,"黄金概念,西部大开发,央国企改革,小金属概念,贬值受益",0,2023-05-26,2026-05-25,724,696,0.9613
601168,西部矿业,上交所,沪市主板,工业金属,青海板块,"稀缺资源,新材料,黄金概念,西部大开发,央国企改革,小金属概念,钒电池,锂矿概念,电池技术",0,2023-05-26,2026-05-25,724,719,0.9931
601601,中国太保,上交所,沪市主板,保险Ⅱ,上海板块,"长江三角,养老概念,蚂蚁概念",0,2023-05-26,2026-05-25,724,721,0.9959
601606,长城军工,上交所,沪市主板,地面兵装Ⅱ,安徽板块,"军工,央国企改革,军民融合,新能源车",0,2023-05-26,2026-05-25,724,685,0.9461
601628,中国人寿,上交所,沪市主板,保险Ⅱ,北京板块,"参股期货,参股银行,央国企改革,蚂蚁概念",0,2023-05-26,2026-05-25,724,720,0.9945
601698,中国卫通,上交所,沪市主板,航天装备Ⅱ,北京板块,"北斗导航,央国企改革,一带一路,卫星互联网,商业航天,低空经济",0,2023-05-26,2026-05-25,724,700,0.9669
601877,正泰电器,上交所,沪市主板,电网设备,浙江板块,"智能电网,光伏概念,长江三角,石墨烯,特斯拉概念,储能概念,电网概念",0,2023-05-26,2026-05-25,724,720,0.9945
601899,紫金矿业,上交所,沪市主板,工业金属,福建板块,"稀缺资源,黄金概念,央国企改革,小金属概念,一带一路,贬值受益,锂矿概念",0,2023-05-26,2026-05-25,724,722,0.9972
601995,中金公司,上交所,沪市主板,证券Ⅱ,北京板块,"互联网金融,券商概念,并购重组概念",0,2023-05-26,2026-05-25,704,698,0.9915
603005,晶方科技,上交所,沪市主板,半导体,江苏板块,"5G概念,增强现实,华为概念,光刻机(胶),国产芯片,3D摄像头,传感器,氮化镓,半导体概念,第三代半导体,汽车芯片,生物识别,先进封装,高带宽内存,玻璃基板,通信技术",0,2023-05-26,2026-05-25,724,709,0.9793
603014,威高血净,上交所,沪市主板,医疗器械,山东板块,医疗器械概念,0,2025-05-19,2026-05-26,238,235,0.9874
603059,倍加洁,上交所,沪市主板,个护用品,江苏板块,"参股银行,跨境电商",0,2023-05-26,2026-05-25,724,709,0.9793
