ts_code,name,parent_code,level,industry_code,is_pub,src
859512.SI,焦煤,740100,L3,740102,1,SW2021
859521.SI,焦炭Ⅲ,740200,L3,740201,1,SW2021
859611.SI,油气开采Ⅲ,750100,L3,750101,0,SW2021
859621.SI,油田服务,750200,L3,750201,1,SW2021
859622.SI,油气及炼化工程,750200,L3,750202,1,SW2021
859631.SI,炼油化工,750300,L3,750301,1,SW2021
859632.SI,油品石化贸易,750300,L3,750302,1,SW2021
859633.SI,其他石化,750300,L3,750303,1,SW2021
859711.SI,大气治理,760100,L3,760101,1,SW2021
859712.SI,水务及水治理,760100,L3,760102,1,SW2021
859713.SI,固废治理,760100,L3,760103,1,SW2021
859714.SI,综合环境治理,760100,L3,760104,1,SW2021
859721.SI,环保设备Ⅲ,760200,L3,760201,1,SW2021
859811.SI,生活用纸,770100,L3,770101,1,SW2021
859812.SI,洗护用品,770100,L3,770102,0,SW2021
859821.SI,化妆品制造及其他,770200,L3,770201,1,SW2021
859822.SI,品牌化妆品,770200,L3,770202,1,SW2021
859831.SI,医美耗材,770300,L3,770301,0,SW2021
859832.SI,医美服务,770300,L3,770302,0,SW2021
859851.SI,学历教育,461100,L3,461101,0,SW2021
859852.SI,培训教育,461100,L3,461102,1,SW2021
859853.SI,教育运营及其他,461100,L3,461103,0,SW2021
859931.SI,博彩,461000,L3,461001,0,SW2021
859951.SI,电视广播Ⅲ,721000,L3,721001,1,SW2021
